AvgGyroX,AvgGyroY,AvgGyroZ,Activity
0.27,0.15,0.24,resting
0.28,0.11,0.24,resting
0.06,0.06,0.09,resting
0.07,0.06,0.11,resting
0.07,0.06,0.11,resting
0.08,0.06,0.11,resting
0.09,0.06,0.13,resting
0.09,0.07,0.15,resting
0.09,0.07,0.16,resting
0.15,0.08,0.16,resting
0.2,0.08,0.17,resting
0.2,0.08,0.18,resting
0.21,0.08,0.19,resting
0.21,0.08,0.19,resting
0.21,0.08,0.19,resting
0.21,0.09,0.19,resting
0.23,0.09,0.2,resting
0.25,0.1,0.2,resting
0.25,0.1,0.2,resting
0.26,0.1,0.2,resting
0.27,0.1,0.24,resting
0.28,0.11,0.24,resting
0.28,0.11,0.26,resting
0.28,0.12,0.27,resting
0.28,0.12,0.28,resting
0.28,0.12,0.29,resting
0.28,0.12,0.29,resting
0.29,0.12,0.29,resting
0.29,0.13,0.29,resting
0.29,0.13,0.29,resting
0.29,0.13,0.29,resting
0,0,0,resting
0.1,0.02,0,resting
0,0,0,resting
0.01,0.02,0.02,resting
0.03,0.05,0.07,resting
0.5,0,0.1,resting
0.02,0.02,0.02,resting
0.05,0.07,0.02,resting
0.01,0.02,0.02,resting
0.03,0.05,0.07,resting
0.5,0,0.1,resting
0.03,0.02,0,resting
0.07,0.02,0.1,resting
0,0.07,0.5,resting
0,0,0,resting
0,0,0,resting
0,0,0,resting
0,0,0,resting
0,0,0,resting
0,0,0,resting
0.03,0.05,0.1,resting
0.09,0.09,0.09,resting
0.5,0,0.1,resting
0.02,0.02,0.02,resting
0.05,0.07,0.02,resting
0.01,0,0,resting
0.03,0.2,0.1,resting
0.5,0,0.01,resting
0.03,0,0.1,resting
0.07,0.02,0.1,resting
0,0.07,0.5,resting
0,0,0,resting
0,0,0,resting
0,0,0,resting
0,0,0,resting
0,0,0,resting
0,0,0,resting
0,0,0,resting
0,0,0,resting
0.03,0.03,0.1,resting
0,0,0,resting
0.03,0.1,0.1,resting
