AvgGyroX,AvgGyroY,AvgGyroZ,Activity
2.43,1.73,1.5,running
2.37,1.72,1.46,running
2.41,1.78,1.45,running
2.45,1.83,1.45,running
2.51,1.84,1.46,running
2.47,1.79,1.44,running
2.49,1.81,1.44,running
2.55,1.85,1.45,running
2.55,1.85,1.44,running
2.49,1.82,1.41,running
2.45,1.78,1.4,running
2.47,1.81,1.41,running
2.52,1.87,1.44,running
2.52,1.87,1.43,running
2.54,1.89,1.44,running
2.61,1.95,1.47,running
2.64,1.97,1.49,running
2.66,2.01,1.51,running
2.67,2.01,1.51,running
2.67,2.01,1.51,running
2.67,2.01,1.51,running
2.67,2.01,1.51,running
2.67,2.01,1.5,running
2.62,1.99,1.47,running
2.61,1.95,1.46,running
2.59,1.9,1.45,running
2.48,1.82,1.37,running
2.4,1.75,1.31,running
2.39,1.74,1.25,running
1.26,0.65,0.41,running
1.38,0.65,0.44,running
1.47,0.66,0.48,running
1.59,0.69,0.52,running
1.76,0.72,0.57,running
1.93,0.79,0.62,running
2.1,0.92,0.65,running
2.27,1,0.66,running
2.42,1.05,0.72,running
2.58,1.11,0.8,running
2.72,1.11,0.9,running
2.82,1.16,1,running
2.94,1.19,1.04,running
3.08,1.23,1.04,running
3.09,1.27,1.09,running
